joint1,2,3,4,5,6,7,manip,x,y,z,force
0.157436,1.20954,2.50338,-1.8444,-0.805167,-0.889215,-0.96895,0.0702005,0.124408,0.251661,0.973524,-6.047,
0.157803,1.21023,2.50275,-1.84362,-0.806788,-0.888649,-0.967643,0.0702277,0.124847,0.25204,0.973443,-8.047,
0.15819,1.21111,2.502,-1.84291,-0.80865,-0.888084,-0.966196,0.070256,0.125338,0.252464,0.973291,-1.047,
0.158555,1.21154,2.50152,-1.84196,-0.810001,-0.887474,-0.965009,0.0702837,0.125726,0.252798,0.973323,-1.247,
0.15891,1.21188,2.5011,-1.84099,-0.811244,-0.886867,-0.963885,0.0703107,0.126089,0.253112,0.973385,-2.947,
0.159197,1.21225,2.5007,-1.84027,-0.812348,-0.886398,-0.962932,0.0703323,0.126402,0.253381,0.973392,-3.847,
0.160058,1.21246,2.49978,-1.83929,-0.813868,-0.886229,-0.961963,0.0703744,0.126601,0.253911,0.973369,-3.747,
0.16074,1.21297,2.49893,-1.83816,-0.815702,-0.885706,-0.960558,0.0704151,0.127006,0.254429,0.973344,-1.347,
0.161247,1.21336,2.49833,-1.83706,-0.817219,-0.885106,-0.959275,0.070449,0.127397,0.254838,0.973384,-2.147,
0.161653,1.21417,2.4977,-1.83563,-0.819365,-0.884036,-0.957293,0.0704868,0.128081,0.25531,0.973416,-3.847,
0.161947,1.21502,2.49712,-1.83446,-0.82135,-0.883077,-0.955474,0.0705178,0.128725,0.255719,0.973394,-3.247,
0.162229,1.21578,2.4966,-1.83338,-0.823159,-0.882204,-0.953814,0.0705466,0.129308,0.256096,0.973382,-5.147,
0.162452,1.21652,2.49612,-1.83256,-0.82476,-0.8815,-0.952389,0.0705698,0.129813,0.25642,0.973324,-3.047,
0.162654,1.21707,2.49574,-1.83177,-0.826075,-0.880871,-0.951181,0.0705905,0.130236,0.256693,0.973313,-2.447,
0.162853,1.21754,2.49541,-1.83098,-0.827273,-0.880261,-0.950053,0.0706103,0.130628,0.256945,0.97333,-3.247,
0.163009,1.21795,2.49513,-1.83037,-0.828276,-0.879778,-0.949127,0.0706262,0.130952,0.257153,0.973325,-2.747,
0.163516,1.21871,2.4944,-1.82897,-0.830453,-0.878848,-0.947205,0.0706658,0.131585,0.257661,0.973329,-4.047,
0.164033,1.21952,2.49364,-1.82763,-0.832672,-0.877962,-0.945285,0.0707052,0.132214,0.258179,0.973302,-3.147,
0.164453,1.22015,2.49303,-1.82651,-0.834458,-0.877232,-0.943722,0.0707374,0.132725,0.258597,0.973292,-2.747,
0.164851,1.22071,2.49248,-1.82543,-0.836116,-0.876536,-0.942257,0.0707678,0.133201,0.258987,0.973299,-2.347,
0.165185,1.22114,2.49204,-1.82451,-0.837471,-0.875951,-0.941045,0.0707932,0.133594,0.259308,0.973316,-4.347,
0.165475,1.22164,2.49159,-1.82377,-0.838772,-0.87546,-0.939929,0.0708154,0.133959,0.259607,0.973284,-3.147,
0.16573,1.22203,2.49121,-1.8231,-0.839878,-0.875023,-0.938965,0.0708349,0.134273,0.259864,0.973271,-2.147,
0.166353,1.22247,2.4905,-1.82184,-0.841657,-0.874419,-0.937491,0.0708738,0.134704,0.260349,0.973294,-3.747,
0.166953,1.22319,2.48969,-1.82045,-0.843874,-0.873603,-0.935599,0.0709157,0.135297,0.260894,0.973278,-3.447,
0.167423,1.22383,2.48904,-1.81927,-0.845761,-0.872883,-0.933963,0.07095,0.135819,0.261343,0.973261,-2.347,
0.167876,1.22435,2.48845,-1.8181,-0.847482,-0.872193,-0.932445,0.0709827,0.136298,0.261761,0.973276,-2.347,
