joint1,2,3,4,5,6,7,manip,x,y,z,force
0.119769,1.28553,2.31923,-1.36944,-1.37383,-0.804408,-0.183123,0.0870489,0.347436,0.330218,0.971992,0.134,
0.121947,1.28494,2.31803,-1.36767,-1.37467,-0.805193,-0.183138,0.0871473,0.347242,0.331256,0.971992,-0.366,
0.123691,1.28447,2.31708,-1.36625,-1.37535,-0.805821,-0.183143,0.0872258,0.347087,0.332087,0.971992,-0.066,
0.125544,1.284,2.31617,-1.36508,-1.37579,-0.806449,-0.183613,0.0872956,0.346793,0.332945,0.971992,0.034,
0.127345,1.28346,2.31496,-1.3629,-1.37708,-0.807174,-0.18264,0.0874041,0.346902,0.333854,0.971992,0.034,
0.129588,1.28283,2.31363,-1.36074,-1.37821,-0.808012,-0.182203,0.0875163,0.346822,0.334943,0.971992,0.134,
0.131385,1.28233,2.31257,-1.35901,-1.37912,-0.808682,-0.181847,0.0876058,0.346758,0.335814,0.971991,0.034,
0.132823,1.28193,2.31171,-1.35762,-1.37985,-0.809218,-0.181558,0.0876773,0.346707,0.336511,0.971991,-0.066,
0.134745,1.28135,2.31041,-1.35522,-1.38125,-0.809994,-0.180447,0.0877929,0.34684,0.337482,0.971991,-0.066,
0.136285,1.28088,2.30936,-1.3533,-1.38237,-0.810615,-0.179553,0.0878851,0.346948,0.338258,0.971991,-0.166,
0.13832,1.28032,2.30817,-1.35135,-1.38338,-0.811367,-0.17917,0.0879838,0.346865,0.33924,0.971991,-0.066,
0.140375,1.27971,2.3068,-1.34887,-1.38479,-0.812184,-0.178104,0.0881019,0.34697,0.340267,0.97199,0.034,
0.142901,1.27896,2.30516,-1.34594,-1.38643,-0.813173,-0.176948,0.0882417,0.347055,0.34152,0.97199,0.034,
0.144924,1.27837,2.30385,-1.34358,-1.38775,-0.813964,-0.176016,0.088353,0.347123,0.342522,0.97199,-0.066,
0.146544,1.27789,2.3028,-1.34169,-1.3888,-0.814597,-0.175265,0.0884417,0.347178,0.343324,0.97199,-0.166,
0.147842,1.27751,2.30196,-1.34017,-1.38964,-0.815104,-0.17466,0.0885125,0.347223,0.343966,0.97199,-0.166,
0.150559,1.27676,2.30039,-1.33757,-1.39093,-0.816092,-0.17419,0.088638,0.347092,0.345266,0.971989,0.034,
0.152736,1.27617,2.29914,-1.33549,-1.39197,-0.816881,-0.173804,0.088738,0.346988,0.346307,0.971989,0.034,
0.154937,1.2756,2.29799,-1.33376,-1.39272,-0.81763,-0.173932,0.0888243,0.346736,0.34733,0.971989,0.034,
0.156699,1.27514,2.29707,-1.33237,-1.39331,-0.818228,-0.174027,0.0888932,0.346535,0.348148,0.971989,0.034,
0.158871,1.27452,2.29572,-1.32997,-1.39459,-0.819051,-0.173214,0.0890026,0.346547,0.349206,0.971989,0.034,
0.160611,1.27402,2.29464,-1.32803,-1.39561,-0.819709,-0.172558,0.0890898,0.346556,0.350053,0.971989,-0.166,
0.162004,1.27362,2.29377,-1.32648,-1.39643,-0.820236,-0.17203,0.0891593,0.346564,0.35073,0.971989,-0.066,
0.164864,1.27281,2.292,-1.32332,-1.39808,-0.821313,-0.170971,0.0893002,0.346571,0.352117,0.971988,0.134,
0.167155,1.27215,2.29058,-1.32077,-1.39941,-0.822174,-0.170113,0.0894122,0.346578,0.353227,0.971988,0.134,
0.169447,1.27154,2.28931,-1.31866,-1.40039,-0.822976,-0.169849,0.0895077,0.346416,0.354304,0.971988,0.134,
0.171281,1.27105,2.28829,-1.31697,-1.40118,-0.823617,-0.169631,0.0895839,0.346288,0.355166,0.971988,0.034,
0.173164,1.2705,2.28708,-1.31471,-1.40239,-0.824343,-0.168701,0.0896797,0.346353,0.356087,0.971988,0.234,
0.17547,1.26987,2.28576,-1.31244,-1.40349,-0.825164,-0.168241,0.0897787,0.346241,0.357177,0.971987,0.234,
0.177887,1.26929,2.28464,-1.31088,-1.40401,-0.825913,-0.168846,0.0898538,0.345815,0.35826,0.971987,-0.066,
0.179822,1.26883,2.28374,-1.30962,-1.40444,-0.826513,-0.169321,0.0899138,0.345475,0.359127,0.971987,0.034,
0.181372,1.26846,2.28302,-1.30861,-1.40479,-0.826992,-0.169696,0.0899618,0.345204,0.359821,0.971987,0.234,
0.182613,1.26817,2.28244,-1.3078,-1.40506,-0.827375,-0.169992,0.0900001,0.344987,0.360376,0.971987,0.034,
0.184294,1.26773,2.28155,-1.30636,-1.40569,-0.827939,-0.169946,0.090063,0.344819,0.361151,0.971987,0.034,
0.186558,1.26721,2.28057,-1.30507,-1.40605,-0.828611,-0.170735,0.0901259,0.34435,0.362148,0.971987,0.134,
0.18837,1.2668,2.27977,-1.30403,-1.40635,-0.829148,-0.171358,0.0901762,0.343975,0.362945,0.971987,-0.166,
0.189822,1.26647,2.27914,-1.30319,-1.40659,-0.829577,-0.171852,0.0902164,0.343676,0.363584,0.971987,-0.066,
0.190984,1.2662,2.27863,-1.30252,-1.40678,-0.829921,-0.172244,0.0902485,0.343437,0.364094,0.971987,0.134,
0.193179,1.26572,2.27773,-1.30143,-1.40701,-0.830545,-0.17323,0.090303,0.342914,0.365045,0.971987,0.234,
0.194938,1.26533,2.27701,-1.30055,-1.4072,-0.831044,-0.174012,0.0903465,0.342497,0.365806,0.971987,0.034,
0.197039,1.26495,2.27644,-1.30042,-1.40676,-0.831518,-0.176145,0.090369,0.341657,0.366647,0.971987,-0.066,
0.198723,1.26465,2.27598,-1.3003,-1.40641,-0.831899,-0.177843,0.0903872,0.340986,0.367321,0.971987,0.334,
0.201275,1.26407,2.27486,-1.2988,-1.40684,-0.83265,-0.178681,0.090457,0.340456,0.368437,0.971987,0.134,
0.20332,1.2636,2.27397,-1.2976,-1.4072,-0.833251,-0.179342,0.0905128,0.340033,0.36933,0.971987,-0.066,
0.205537,1.26315,2.27318,-1.29686,-1.40716,-0.833825,-0.180811,0.0905548,0.33936,0.370255,0.971987,-0.066,
0.207313,1.26279,2.27254,-1.29626,-1.40714,-0.834285,-0.181979,0.0905885,0.338822,0.370994,0.971987,0.234,
0.209472,1.26225,2.27143,-1.29446,-1.40789,-0.834984,-0.181984,0.090663,0.338566,0.371973,0.971987,0.134,
0.211201,1.26182,2.27054,-1.29301,-1.4085,-0.835543,-0.181981,0.0907224,0.338362,0.372756,0.971987,0.134,
0.213629,1.26131,2.26961,-1.29198,-1.40862,-0.836194,-0.183301,0.090774,0.337698,0.373779,0.971987,0.034,
0.215574,1.2609,2.26887,-1.29115,-1.40872,-0.836715,-0.184348,0.0908154,0.337168,0.374598,0.971987,-0.066,
0.217132,1.26057,2.26827,-1.29048,-1.4088,-0.837132,-0.18518,0.0908485,0.336744,0.375253,0.971987,0.134,
0.219309,1.26014,2.2675,-1.28975,-1.40877,-0.837686,-0.186614,0.0908883,0.336073,0.376151,0.971987,0.034,
0.221053,1.25979,2.26688,-1.28916,-1.40875,-0.83813,-0.187754,0.0909202,0.335537,0.37687,0.971987,0.034,
0.222915,1.25942,2.26624,-1.28859,-1.40869,-0.838596,-0.189044,0.0909524,0.334942,0.377632,0.971987,0.034,
0.224406,1.25912,2.26573,-1.28812,-1.40864,-0.838969,-0.19007,0.0909783,0.334466,0.378242,0.971987,0.434,
0.2256,1.25889,2.26532,-1.28775,-1.40861,-0.839268,-0.190887,0.0909991,0.334086,0.37873,0.971987,0.034,
0.227837,1.25843,2.26448,-1.28683,-1.4087,-0.839855,-0.192136,0.0910443,0.333452,0.37966,0.971987,-0.066,
0.229628,1.25805,2.2638,-1.28609,-1.40878,-0.840325,-0.193128,0.0910805,0.332946,0.380404,0.971988,-0.166,
0.23153,1.25767,2.26311,-1.28538,-1.4088,-0.840812,-0.194292,0.0911163,0.332375,0.381186,0.971988,-0.366,
0.233054,1.25736,2.26256,-1.28481,-1.40882,-0.841202,-0.195217,0.091145,0.331919,0.381812,0.971988,0.034,
0.234275,1.25712,2.26212,-1.28435,-1.40883,-0.841515,-0.195954,0.0911679,0.331554,0.382313,0.971988,0.234,
0.235251,1.25692,2.26176,-1.28398,-1.40885,-0.841765,-0.196541,0.0911863,0.331262,0.382713,0.971988,0.134,
0.236722,1.25674,2.26163,-1.2847,-1.40797,-0.841976,-0.199086,0.0911765,0.33035,0.383215,0.971987,0.034,
0.237902,1.2566,2.26153,-1.28527,-1.40727,-0.842147,-0.201117,0.0911689,0.329621,0.383616,0.971987,0.134,
0.239444,1.25641,2.26136,-1.28592,-1.40643,-0.842385,-0.203646,0.0911618,0.328702,0.384147,0.971987,-0.166,
0.241154,1.25616,2.26106,-1.28631,-1.40572,-0.84269,-0.206032,0.0911635,0.327801,0.38476,0.971987,0.134,
0.242525,1.25596,2.26083,-1.28662,-1.40515,-0.842937,-0.207936,0.091165,0.327081,0.38525,0.971987,0.034,
0.244224,1.25571,2.26055,-1.28705,-1.40442,-0.843238,-0.210356,0.0911655,0.326169,0.385853,0.971987,0.134,
0.245587,1.25551,2.26032,-1.28739,-1.40383,-0.843481,-0.212286,0.0911662,0.32544,0.386335,0.971987,0.034,
