joint1,2,3,4,5,6,7,manip,x,y,z,force
0.164996,1.27696,2.30095,-1.33013,-1.39911,-0.814914,-0.177858,0.0887848,0.344922,0.349892,0.972459,0.059,
0.164773,1.27715,2.30154,-1.33178,-1.3979,-0.814643,-0.179815,0.088722,0.344399,0.349678,0.972459,-0.041,
0.164762,1.27739,2.30236,-1.3343,-1.39595,-0.81431,-0.183179,0.0886291,0.343462,0.349483,0.972458,0.059,
0.164757,1.27758,2.30301,-1.3363,-1.39438,-0.81405,-0.185869,0.0885547,0.342713,0.349328,0.972458,-0.241,
0.164756,1.27772,2.30352,-1.33791,-1.39313,-0.813844,-0.188021,0.0884951,0.342114,0.349203,0.972458,0.059,
0.164756,1.27784,2.30393,-1.33919,-1.39213,-0.813682,-0.189743,0.0884474,0.341634,0.349104,0.972458,0.059,
0.164933,1.278,2.3046,-1.34141,-1.39033,-0.813446,-0.192927,0.0883664,0.340729,0.349002,0.972457,-0.141,
0.16432,1.27839,2.30576,-1.3445,-1.38807,-0.812911,-0.196407,0.0882436,0.339824,0.34851,0.972456,0.059,
0.163833,1.2787,2.30668,-1.34696,-1.38625,-0.812489,-0.199191,0.0881451,0.3391,0.348117,0.972456,0.059,
0.163282,1.27911,2.30797,-1.35051,-1.38357,-0.811922,-0.203382,0.0880038,0.337991,0.347608,0.972455,-0.041,
0.162846,1.27943,2.309,-1.35335,-1.38142,-0.811477,-0.206735,0.0878906,0.337105,0.347201,0.972454,0.159,
0.162501,1.27969,2.30982,-1.35561,-1.37969,-0.811126,-0.209416,0.0877999,0.336396,0.346876,0.972454,-0.141,
0.16207,1.28005,2.31102,-1.35899,-1.37707,-0.810628,-0.213536,0.0876643,0.335296,0.34642,0.972453,-0.141,
0.161731,1.28033,2.31198,-1.36169,-1.37497,-0.810238,-0.216831,0.0875557,0.334417,0.346056,0.972452,-0.141,
0.161462,1.28055,2.31274,-1.36384,-1.37328,-0.809931,-0.219468,0.0874688,0.333714,0.345766,0.972452,0.159,
0.161099,1.28087,2.3139,-1.36713,-1.37068,-0.809478,-0.223562,0.0873357,0.332616,0.345337,0.972451,0.159,
0.160813,1.28112,2.31481,-1.36976,-1.36859,-0.809125,-0.226836,0.0872293,0.331738,0.344995,0.97245,0.259,
0.160587,1.28132,2.31554,-1.37185,-1.36691,-0.808848,-0.229456,0.0871441,0.331036,0.344721,0.972449,0.359,
0.159788,1.28172,2.31682,-1.37516,-1.36438,-0.808293,-0.233104,0.0870034,0.330109,0.34411,0.972448,0.059,
0.159153,1.28204,2.31785,-1.3778,-1.36235,-0.807857,-0.236022,0.0868906,0.329368,0.343622,0.972448,-0.141,
0.159124,1.28218,2.3185,-1.37984,-1.36064,-0.807651,-0.238799,0.0868093,0.328602,0.343427,0.972447,-0.141,
0.158833,1.28243,2.31949,-1.38271,-1.35829,-0.807297,-0.242439,0.0866911,0.327625,0.343051,0.972447,-0.041,
0.158604,1.28262,2.32028,-1.385,-1.35641,-0.807021,-0.24535,0.0865966,0.326843,0.342751,0.972446,-0.041,
0.157462,1.28311,2.32184,-1.38885,-1.35346,-0.806346,-0.249395,0.0864269,0.325845,0.341943,0.972445,0.159,
0.156553,1.2835,2.32308,-1.39191,-1.35109,-0.805816,-0.25263,0.086291,0.325048,0.341296,0.972444,-0.041,
0.155829,1.2838,2.32406,-1.39436,-1.34918,-0.805397,-0.255217,0.0861822,0.32441,0.340779,0.972443,-0.141,
0.155251,1.28404,2.32485,-1.39631,-1.34766,-0.805065,-0.257286,0.0860951,0.323899,0.340366,0.972443,0.059,
0.154789,1.28423,2.32548,-1.39787,-1.34644,-0.804802,-0.258941,0.0860254,0.323492,0.340035,0.972443,-0.241,
0.154985,1.28429,2.32606,-1.3999,-1.3446,-0.804701,-0.262,0.0859461,0.322625,0.33992,0.972442,0.059,
0.154401,1.28458,2.32715,-1.40283,-1.34219,-0.804299,-0.265443,0.0858186,0.321736,0.339408,0.972441,0.059,
0.153936,1.2848,2.32803,-1.40517,-1.34027,-0.803984,-0.268196,0.0857168,0.321026,0.338998,0.972441,0.159,
0.153566,1.28498,2.32872,-1.40703,-1.33872,-0.803737,-0.270399,0.0856353,0.320457,0.33867,0.97244,-0.041,
0.153013,1.28523,2.32975,-1.40976,-1.33646,-0.803375,-0.273609,0.0855159,0.31963,0.338185,0.97244,-0.341,
0.152572,1.28543,2.33056,-1.41194,-1.33464,-0.803091,-0.276177,0.0854204,0.318969,0.337797,0.972439,-0.341,
0.151964,1.28571,2.33168,-1.41491,-1.33215,-0.802707,-0.279686,0.0852895,0.318065,0.337263,0.972438,-0.141,
