joint1,2,3,4,5,6,7,manip,x,y,z,force
0.165655,1.27849,2.30088,-1.33329,-1.39766,-0.815197,-0.181747,0.088802,0.344128,0.350366,0.971665,-0.166,
0.166406,1.27849,2.30117,-1.33481,-1.39628,-0.81518,-0.184615,0.0887538,0.343251,0.350555,0.971665,0.134,
0.167592,1.27841,2.30133,-1.33629,-1.39481,-0.815275,-0.187918,0.0887116,0.342208,0.35092,0.971664,-0.066,
0.168545,1.27834,2.30145,-1.33747,-1.39363,-0.815355,-0.190557,0.0886781,0.341373,0.351212,0.971664,-0.166,
0.16931,1.27828,2.30154,-1.33841,-1.39269,-0.815423,-0.192665,0.0886515,0.340705,0.351446,0.971664,0.134,
0.169981,1.27829,2.30188,-1.34001,-1.39125,-0.815385,-0.195571,0.088599,0.339825,0.351589,0.971664,0.034,
0.169893,1.27857,2.30284,-1.34294,-1.38898,-0.815001,-0.199404,0.0884889,0.338766,0.35132,0.971663,0.134,
0.169827,1.27879,2.3036,-1.34527,-1.38716,-0.814701,-0.202469,0.0884008,0.337919,0.351105,0.971662,0.134,
0.169777,1.27896,2.30421,-1.34713,-1.38571,-0.814465,-0.204921,0.0883302,0.337242,0.350933,0.971662,0.134,
0.169928,1.27915,2.30502,-1.3498,-1.38354,-0.814186,-0.208693,0.0882311,0.336176,0.350773,0.971661,-0.066,
0.170053,1.27931,2.30567,-1.35193,-1.38181,-0.813969,-0.211709,0.0881518,0.335323,0.350646,0.971661,0.134,
0.171096,1.27923,2.30587,-1.35349,-1.38027,-0.814056,-0.214988,0.0881044,0.334299,0.35093,0.97166,0.134,
0.171934,1.27916,2.30603,-1.35473,-1.37903,-0.81413,-0.217607,0.0880668,0.33348,0.351157,0.97166,-0.466,
0.172336,1.27926,2.30663,-1.35697,-1.37712,-0.813983,-0.221089,0.0879862,0.332468,0.351125,0.97166,-0.066,
0.173135,1.27923,2.30695,-1.35868,-1.37551,-0.814002,-0.224303,0.0879302,0.331487,0.351294,0.971659,-0.066,
0.173777,1.27921,2.3072,-1.36005,-1.37422,-0.814022,-0.226872,0.0878857,0.330702,0.351428,0.971659,0.134,
0.174293,1.27918,2.3074,-1.36113,-1.37319,-0.814042,-0.228926,0.0878502,0.330074,0.351537,0.971659,-0.166,
0.175394,1.27911,2.30771,-1.36309,-1.37128,-0.814124,-0.232823,0.0877882,0.328869,0.351797,0.971658,-0.066,
0.176279,1.27904,2.30795,-1.36465,-1.36976,-0.814197,-0.235937,0.087739,0.327905,0.352005,0.971658,0.434,
0.176991,1.27898,2.30814,-1.3659,-1.36854,-0.81426,-0.238425,0.0876999,0.327134,0.352172,0.971658,-0.266,
0.177306,1.27907,2.30875,-1.36813,-1.36662,-0.814119,-0.241821,0.0876178,0.326155,0.352092,0.971657,-0.166,
0.17804,1.27904,2.30907,-1.36983,-1.36501,-0.814149,-0.244962,0.0875613,0.325199,0.352223,0.971657,0.034,
0.17863,1.27901,2.30933,-1.37118,-1.36372,-0.814178,-0.247473,0.0875164,0.324434,0.352328,0.971656,0.134,
0.179333,1.27901,2.30983,-1.37342,-1.36166,-0.814155,-0.251321,0.0874386,0.323285,0.352393,0.971656,0.134,
0.1799,1.27901,2.31022,-1.3752,-1.36001,-0.814144,-0.254396,0.0873768,0.322366,0.352445,0.971655,-0.066,
0.180247,1.27912,2.31105,-1.37817,-1.35744,-0.813967,-0.258857,0.0872657,0.321088,0.352296,0.971654,0.234,
0.180529,1.27921,2.31171,-1.38053,-1.35537,-0.813835,-0.262423,0.0871772,0.320065,0.352177,0.971654,0.134,
0.180758,1.27927,2.31223,-1.38242,-1.35371,-0.813736,-0.265275,0.0871066,0.319247,0.352082,0.971653,0.134,
0.181912,1.2791,2.3123,-1.38374,-1.35225,-0.81395,-0.268397,0.08707,0.318245,0.352397,0.971653,0.034,
0.182837,1.27895,2.31235,-1.3848,-1.35108,-0.814127,-0.270891,0.0870412,0.317444,0.35265,0.971653,-0.266,
0.184204,1.27871,2.31227,-1.38586,-1.34978,-0.814432,-0.273878,0.0870183,0.316454,0.353071,0.971652,0.034,
0.185208,1.27862,2.31271,-1.38823,-1.34747,-0.814529,-0.278276,0.0869392,0.315113,0.353218,0.971652,0.034,
0.186158,1.27852,2.3131,-1.39042,-1.34532,-0.814634,-0.282367,0.0868665,0.313864,0.35336,0.971651,0.134,
0.186923,1.27844,2.31341,-1.39216,-1.3436,-0.814727,-0.285635,0.0868088,0.312865,0.353473,0.97165,-0.066,
0.188169,1.27824,2.31352,-1.39375,-1.34186,-0.814976,-0.289234,0.0867638,0.311715,0.353784,0.97165,-0.066,
0.18917,1.27807,2.31361,-1.39502,-1.34047,-0.815182,-0.292109,0.0867283,0.310795,0.354033,0.97165,0.134,
0.18955,1.27812,2.31439,-1.39794,-1.33783,-0.81509,-0.296594,0.0866189,0.309504,0.353868,0.971649,0.034,
0.189859,1.27815,2.31502,-1.40027,-1.33571,-0.815027,-0.30018,0.0865318,0.308471,0.353737,0.971648,-0.166,
0.19011,1.27817,2.31551,-1.40213,-1.33402,-0.814984,-0.303047,0.0864625,0.307645,0.353633,0.971647,0.134,
0.191295,1.27795,2.31553,-1.4034,-1.33254,-0.815265,-0.306156,0.0864296,0.306635,0.353943,0.971647,-0.166,
0.191541,1.27798,2.31618,-1.40574,-1.33042,-0.815199,-0.309692,0.0863412,0.305623,0.353781,0.971646,-0.066,
0.192234,1.27789,2.3165,-1.4075,-1.32866,-0.81531,-0.312926,0.0862822,0.304639,0.353848,0.971646,-0.066,
0.192792,1.2778,2.31675,-1.4089,-1.32725,-0.815405,-0.315511,0.0862354,0.303852,0.353903,0.971646,0.034,
0.193031,1.27783,2.31739,-1.41124,-1.32512,-0.815353,-0.319045,0.0861471,0.302841,0.353733,0.971645,0.134,
0.193721,1.27772,2.3177,-1.41299,-1.32335,-0.81548,-0.322275,0.0860886,0.301857,0.353794,0.971644,-0.266,
0.194276,1.27763,2.31795,-1.41438,-1.32193,-0.815586,-0.324857,0.0860421,0.30107,0.353844,0.971644,0.034,
0.194722,1.27755,2.31815,-1.4155,-1.3208,-0.815675,-0.326921,0.0860051,0.300441,0.353884,0.971644,-0.066,
0.195225,1.27748,2.3185,-1.4172,-1.31912,-0.815756,-0.329874,0.0859459,0.299557,0.353877,0.971643,-0.166,
