joint1,2,3,4,5,6,7,manip,x,y,z,force
0.160772,1.27849,2.30263,-1.33528,-1.39617,-0.81406,-0.179811,0.0886388,0.344937,0.348173,0.972045,0.159,
0.162069,1.27842,2.30287,-1.33711,-1.3944,-0.814138,-0.183697,0.0885849,0.343722,0.348563,0.972044,-0.041,
0.163372,1.27834,2.3031,-1.33892,-1.39263,-0.814223,-0.187578,0.0885315,0.342508,0.348952,0.972044,0.059,
0.164681,1.27825,2.30332,-1.34072,-1.39086,-0.814317,-0.191452,0.0884786,0.341294,0.349341,0.972043,0.159,
0.165995,1.27816,2.30354,-1.34251,-1.38909,-0.814419,-0.195322,0.0884261,0.34008,0.349731,0.972043,-0.141,
0.167316,1.27806,2.30375,-1.34429,-1.38733,-0.814529,-0.199185,0.0883741,0.338866,0.35012,0.972042,0.159,
0.168557,1.27794,2.30385,-1.34567,-1.38589,-0.814672,-0.202429,0.0883361,0.337831,0.350507,0.972042,0.359,
0.169803,1.27781,2.30394,-1.34704,-1.38446,-0.814821,-0.205668,0.0882985,0.336797,0.350894,0.972042,0.159,
0.171052,1.27768,2.30403,-1.34841,-1.38303,-0.814976,-0.208903,0.0882612,0.335763,0.35128,0.972042,-0.041,
0.172306,1.27755,2.30412,-1.34976,-1.3816,-0.815136,-0.212132,0.0882244,0.334728,0.351667,0.972041,0.059,
0.173564,1.27741,2.3042,-1.35111,-1.38017,-0.815301,-0.215357,0.088188,0.333694,0.352054,0.972041,0.059,
0.173872,1.27762,2.30519,-1.35449,-1.37738,-0.814998,-0.220276,0.0880637,0.33229,0.351888,0.97204,0.159,
0.174189,1.27782,2.30617,-1.35786,-1.37458,-0.814708,-0.225193,0.0879396,0.330887,0.351722,0.972038,0.159,
0.174514,1.27801,2.30714,-1.36121,-1.37177,-0.814433,-0.230109,0.0878156,0.329484,0.351557,0.972037,0.159,
0.174848,1.27819,2.3081,-1.36454,-1.36896,-0.814172,-0.235022,0.0876917,0.32808,0.351391,0.972036,0.059,
0.175189,1.27835,2.30906,-1.36786,-1.36614,-0.813925,-0.239933,0.0875681,0.326677,0.351226,0.972035,0.059,
0.175975,1.27832,2.30944,-1.36978,-1.36432,-0.813947,-0.24344,0.0875037,0.325614,0.351358,0.972034,0.359,
0.176764,1.27829,2.30981,-1.3717,-1.36251,-0.813977,-0.246944,0.0874396,0.324551,0.35149,0.972034,0.359,
0.177558,1.27824,2.31018,-1.37361,-1.3607,-0.814014,-0.250445,0.0873759,0.323488,0.351622,0.972033,0.159,
0.178356,1.2782,2.31054,-1.37551,-1.35888,-0.814057,-0.253943,0.0873125,0.322425,0.351754,0.972033,0.159,
0.179158,1.27814,2.3109,-1.3774,-1.35707,-0.814108,-0.257437,0.0872495,0.321363,0.351887,0.972032,-0.141,
0.180113,1.27807,2.31131,-1.37961,-1.35493,-0.814179,-0.261544,0.087176,0.320111,0.352045,0.972032,0.359,
0.181073,1.27799,2.31171,-1.38181,-1.3528,-0.814259,-0.265647,0.087103,0.31886,0.352203,0.972031,0.059,
0.182039,1.27791,2.31211,-1.384,-1.35066,-0.814349,-0.269745,0.0870306,0.317609,0.352362,0.97203,0.359,
0.183011,1.27782,2.31249,-1.38618,-1.34853,-0.81445,-0.273838,0.0869588,0.316358,0.35252,0.972029,0.159,
0.183989,1.27772,2.31287,-1.38834,-1.34639,-0.81456,-0.277926,0.0868875,0.315107,0.352678,0.972029,0.259,
0.185153,1.27756,2.31312,-1.39029,-1.34438,-0.814749,-0.281919,0.0868275,0.31386,0.352927,0.972028,0.059,
0.186323,1.27739,2.31337,-1.39222,-1.34238,-0.814947,-0.285906,0.0867681,0.312612,0.353177,0.972027,0.259,
0.187498,1.27722,2.3136,-1.39414,-1.34037,-0.815154,-0.289887,0.0867094,0.311364,0.353426,0.972027,0.159,
0.188679,1.27703,2.31383,-1.39605,-1.33837,-0.815371,-0.293862,0.0866513,0.310116,0.353676,0.972026,-0.041,
0.189865,1.27685,2.31405,-1.39795,-1.33636,-0.815597,-0.297831,0.0865938,0.308869,0.353925,0.972026,-0.141,
0.190573,1.27677,2.31445,-1.39995,-1.33441,-0.81568,-0.301406,0.0865257,0.307789,0.353979,0.972025,-0.241,
0.191285,1.27668,2.31484,-1.40195,-1.33246,-0.81577,-0.304978,0.086458,0.306708,0.354034,0.972024,0.359,
0.192001,1.27659,2.31523,-1.40393,-1.33051,-0.815868,-0.308547,0.0863907,0.305628,0.354089,0.972024,0.059,
0.192721,1.2765,2.31561,-1.4059,-1.32855,-0.815974,-0.312112,0.0863239,0.304548,0.354143,0.972023,0.159,
0.193445,1.2764,2.31598,-1.40787,-1.3266,-0.816088,-0.315673,0.0862575,0.303468,0.354198,0.972023,0.059,
0.194216,1.27626,2.3162,-1.40939,-1.32502,-0.816246,-0.318664,0.0862095,0.30254,0.354318,0.972022,0.059,
0.19499,1.27613,2.31642,-1.41091,-1.32344,-0.81641,-0.321652,0.0861618,0.301612,0.354437,0.972022,0.059,
0.195767,1.27599,2.31663,-1.41241,-1.32186,-0.81658,-0.324636,0.0861145,0.300683,0.354557,0.972021,0.259,
0.196546,1.27584,2.31684,-1.41392,-1.32028,-0.816754,-0.327618,0.0860675,0.299755,0.354677,0.972021,0.159,
0.197329,1.27569,2.31704,-1.41541,-1.3187,-0.816934,-0.330596,0.0860209,0.298827,0.354797,0.972021,0.159,
0.198476,1.27542,2.31684,-1.41599,-1.31783,-0.817275,-0.332693,0.086016,0.298095,0.355156,0.97202,0.159,
0.199624,1.27515,2.31665,-1.41657,-1.31696,-0.817619,-0.334787,0.0860113,0.297364,0.355515,0.97202,0.259,
0.200775,1.27488,2.31645,-1.41713,-1.31609,-0.817964,-0.336878,0.0860069,0.296632,0.355874,0.97202,-0.041,
0.201928,1.27461,2.31624,-1.4177,-1.31523,-0.818311,-0.338964,0.0860027,0.2959,0.356233,0.97202,-0.041,
