joint1,2,3,4,5,6,7,manip,x,y,z,force
0.164672,1.27701,2.30032,-1.32854,-1.3997,-0.814674,-0.175807,0.0887999,0.345855,0.350101,0.972344,0.034,
0.166011,1.27694,2.30054,-1.33033,-1.39796,-0.814755,-0.179693,0.0887483,0.344635,0.35051,0.972343,0.134,
0.167356,1.27686,2.30076,-1.33212,-1.39622,-0.814843,-0.183572,0.0886972,0.343415,0.35092,0.972343,-0.066,
0.168706,1.27677,2.30097,-1.33389,-1.39448,-0.814939,-0.187446,0.0886465,0.342196,0.35133,0.972342,-0.066,
0.170063,1.27668,2.30117,-1.33565,-1.39274,-0.815043,-0.191314,0.0885963,0.340976,0.35174,0.972342,0.234,
0.171425,1.27658,2.30136,-1.3374,-1.391,-0.815155,-0.195176,0.0885465,0.339756,0.352149,0.972342,-0.066,
0.17244,1.27657,2.30176,-1.33949,-1.38908,-0.815145,-0.199119,0.0884802,0.33855,0.352389,0.972341,-0.266,
0.173461,1.27656,2.30215,-1.34157,-1.38716,-0.815143,-0.203058,0.0884143,0.337344,0.352629,0.97234,0.034,
0.174488,1.27654,2.30253,-1.34365,-1.38525,-0.815149,-0.206992,0.0883487,0.336137,0.352868,0.97234,0.134,
0.175521,1.27651,2.30291,-1.34571,-1.38333,-0.815164,-0.210923,0.0882835,0.334931,0.353108,0.972339,-0.066,
0.176559,1.27648,2.30327,-1.34776,-1.38141,-0.815187,-0.214849,0.0882186,0.333725,0.353348,0.972339,0.234,
0.177701,1.27634,2.30328,-1.34878,-1.38028,-0.815361,-0.217501,0.0881935,0.332861,0.353714,0.972338,0.034,
0.178846,1.2762,2.30329,-1.3498,-1.37914,-0.815538,-0.22015,0.0881686,0.331997,0.354079,0.972338,0.034,
0.179994,1.27605,2.30329,-1.35081,-1.37801,-0.815719,-0.222794,0.088144,0.331132,0.354445,0.972338,0.234,
0.181145,1.2759,2.30329,-1.35181,-1.37689,-0.815903,-0.225435,0.0881197,0.330268,0.354811,0.972338,0.134,
0.182299,1.27575,2.30328,-1.35281,-1.37576,-0.816091,-0.228072,0.0880957,0.329404,0.355176,0.972338,0.134,
0.182598,1.27584,2.30383,-1.35481,-1.37407,-0.815952,-0.231123,0.0880241,0.328522,0.355116,0.972337,0.034,
0.182901,1.27593,2.30438,-1.35681,-1.37237,-0.815818,-0.234172,0.0879525,0.327639,0.355056,0.972337,0.034,
0.183207,1.27602,2.30492,-1.3588,-1.37067,-0.815689,-0.23722,0.087881,0.326756,0.354995,0.972336,-0.166,
0.183516,1.2761,2.30547,-1.36079,-1.36896,-0.815566,-0.240267,0.0878096,0.325873,0.354935,0.972336,0.034,
0.183829,1.27618,2.306,-1.36277,-1.36726,-0.815448,-0.243313,0.0877384,0.324991,0.354875,0.972335,-0.366,
0.185147,1.27599,2.30603,-1.36406,-1.36583,-0.815672,-0.246546,0.0877055,0.32394,0.355268,0.972335,0.034,
0.186469,1.27581,2.30605,-1.36534,-1.36439,-0.815902,-0.249773,0.087673,0.322889,0.355662,0.972335,0.234,
0.187796,1.27562,2.30607,-1.36662,-1.36296,-0.816138,-0.252994,0.0876409,0.321837,0.356055,0.972334,-0.166,
0.189127,1.27542,2.30609,-1.36788,-1.36153,-0.816378,-0.25621,0.0876094,0.320786,0.356448,0.972334,-0.066,
