joint1,2,3,4,5,6,7,manip,x,y,z,force
0.162562,1.27778,2.30116,-1.33112,-1.39824,-0.814242,-0.176785,0.0887272,0.345863,0.349242,0.972139,0.059,
0.163329,1.27778,2.30144,-1.33264,-1.39685,-0.814227,-0.179672,0.0886795,0.344981,0.349441,0.972138,-0.141,
0.1641,1.27778,2.30172,-1.33415,-1.39547,-0.814216,-0.182555,0.088632,0.344099,0.34964,0.972138,-0.041,
0.164874,1.27777,2.302,-1.33566,-1.39408,-0.81421,-0.185437,0.0885847,0.343217,0.349839,0.972138,0.159,
0.165651,1.27776,2.30227,-1.33716,-1.3927,-0.814208,-0.188316,0.0885376,0.342334,0.350038,0.972137,-0.041,
0.166431,1.27775,2.30254,-1.33865,-1.39132,-0.814211,-0.191193,0.0884906,0.341452,0.350237,0.972137,0.259,
0.167192,1.27774,2.3028,-1.34011,-1.38997,-0.814217,-0.193996,0.0884449,0.340592,0.350429,0.972137,0.059,
0.167955,1.27772,2.30306,-1.34156,-1.38862,-0.814227,-0.196797,0.0883994,0.339732,0.350622,0.972137,0.059,
0.168722,1.2777,2.30331,-1.343,-1.38727,-0.814242,-0.199596,0.0883541,0.338872,0.350814,0.972136,-0.041,
0.169492,1.27767,2.30356,-1.34444,-1.38592,-0.81426,-0.202393,0.088309,0.338013,0.351007,0.972136,0.059,
0.170264,1.27765,2.30381,-1.34587,-1.38456,-0.814283,-0.205187,0.088264,0.337153,0.3512,0.972136,0.359,
0.170049,1.27786,2.30454,-1.34798,-1.38295,-0.813982,-0.207787,0.0881828,0.336452,0.350941,0.972135,0.159,
0.169836,1.27808,2.30527,-1.35007,-1.38134,-0.813684,-0.210387,0.0881014,0.335751,0.350682,0.972135,0.159,
0.169626,1.27829,2.30599,-1.35217,-1.37972,-0.813391,-0.212987,0.0880199,0.335051,0.350423,0.972134,0.059,
0.169417,1.2785,2.30672,-1.35426,-1.3781,-0.813101,-0.215587,0.0879383,0.33435,0.350165,0.972134,0.059,
0.169212,1.27871,2.30744,-1.35634,-1.37648,-0.812816,-0.218187,0.0878566,0.333649,0.349906,0.972134,0.259,
0.16819,1.27912,2.30854,-1.3589,-1.37469,-0.812268,-0.220525,0.0877468,0.333109,0.349281,0.972133,-0.141,
0.167171,1.27952,2.30964,-1.36145,-1.3729,-0.811724,-0.222862,0.0876366,0.332569,0.348655,0.972133,0.159,
0.166154,1.27992,2.31074,-1.36399,-1.37111,-0.811182,-0.225198,0.087526,0.33203,0.34803,0.972132,0.059,
0.165139,1.28032,2.31184,-1.36653,-1.36931,-0.810645,-0.227535,0.0874151,0.33149,0.347404,0.972132,0.059,
0.164127,1.28071,2.31293,-1.36907,-1.36751,-0.81011,-0.229871,0.0873038,0.33095,0.346779,0.972131,-0.141,
0.163585,1.281,2.31388,-1.37155,-1.36561,-0.809711,-0.232668,0.0872,0.330232,0.346344,0.972131,0.059,
0.163045,1.28129,2.31482,-1.37403,-1.3637,-0.809317,-0.235466,0.087096,0.329514,0.345909,0.97213,0.059,
0.162507,1.28157,2.31575,-1.3765,-1.36178,-0.808927,-0.238264,0.0869918,0.328797,0.345474,0.97213,0.059,
0.161973,1.28185,2.31669,-1.37897,-1.35986,-0.808543,-0.241061,0.0868876,0.328079,0.345039,0.972129,0.159,
0.16144,1.28212,2.31762,-1.38143,-1.35794,-0.808164,-0.243859,0.0867832,0.327361,0.344604,0.972129,-0.041,
0.161307,1.28225,2.31815,-1.38298,-1.35666,-0.807984,-0.245854,0.0867199,0.326823,0.344409,0.972128,0.159,
0.161174,1.28238,2.31868,-1.38453,-1.35538,-0.807808,-0.247848,0.0866567,0.326285,0.344214,0.972128,0.459,
0.161043,1.2825,2.3192,-1.38608,-1.35409,-0.807633,-0.249842,0.0865934,0.325747,0.344019,0.972128,0.059,
0.160913,1.28262,2.31973,-1.38762,-1.35281,-0.807462,-0.251836,0.0865302,0.32521,0.343824,0.972128,0.159,
0.160784,1.28274,2.32025,-1.38916,-1.35152,-0.807292,-0.25383,0.086467,0.324672,0.343629,0.972127,0.059,
0.160395,1.28299,2.32124,-1.39195,-1.34924,-0.806945,-0.257266,0.0863503,0.323763,0.343213,0.972126,-0.041,
0.16001,1.28323,2.32223,-1.39473,-1.34694,-0.806605,-0.260701,0.0862335,0.322855,0.342797,0.972126,0.159,
0.159627,1.28347,2.32321,-1.39751,-1.34464,-0.806272,-0.264136,0.0861168,0.321946,0.342381,0.972125,0.059,
0.159249,1.2837,2.32419,-1.40027,-1.34234,-0.805948,-0.26757,0.0860002,0.321037,0.341965,0.972124,-0.141,
0.158873,1.28393,2.32516,-1.40303,-1.34002,-0.805631,-0.271004,0.0858837,0.320129,0.34155,0.972123,-0.141,
0.158016,1.28426,2.32632,-1.40588,-1.33777,-0.805168,-0.274032,0.0857559,0.319386,0.340933,0.972123,0.159,
