joint1,2,3,4,5,6,7,manip,x,y,z,force
0.163271,1.27774,2.30265,-1.3345,-1.39545,-0.813564,-0.182251,0.088563,0.344149,0.349053,0.972392,0.359,
0.162508,1.27827,2.3042,-1.33867,-1.39241,-0.812843,-0.186992,0.0884004,0.342906,0.348426,0.972391,-0.141,
0.161753,1.27878,2.30574,-1.34281,-1.38936,-0.812135,-0.191735,0.0882369,0.341662,0.3478,0.972389,0.059,
0.161007,1.27929,2.30727,-1.34694,-1.3863,-0.81144,-0.196477,0.0880727,0.340419,0.347174,0.972388,0.059,
0.160269,1.27979,2.30879,-1.35106,-1.38322,-0.810759,-0.201221,0.0879079,0.339176,0.346547,0.972387,0.159,
0.15954,1.28028,2.31031,-1.35516,-1.38013,-0.81009,-0.205965,0.0877424,0.337932,0.345921,0.972385,0.259,
0.159093,1.28059,2.31133,-1.35798,-1.37797,-0.80965,-0.209302,0.0876284,0.337052,0.345509,0.972384,0.259,
0.15865,1.28091,2.31236,-1.36079,-1.3758,-0.809218,-0.21264,0.0875142,0.336172,0.345097,0.972384,0.159,
0.158211,1.28122,2.31338,-1.3636,-1.37363,-0.808792,-0.215977,0.0873998,0.335291,0.344686,0.972383,0.059,
0.157776,1.28152,2.31439,-1.36639,-1.37145,-0.808373,-0.219315,0.0872852,0.334411,0.344274,0.972382,0.259,
0.157344,1.28182,2.3154,-1.36918,-1.36926,-0.80796,-0.222652,0.0871704,0.333531,0.343862,0.972382,0.159,
0.156914,1.28211,2.31642,-1.372,-1.36705,-0.807551,-0.226029,0.0870543,0.33264,0.343447,0.972381,0.059,
0.156488,1.2824,2.31743,-1.3748,-1.36483,-0.807149,-0.229406,0.0869381,0.331749,0.343032,0.97238,0.159,
0.156066,1.28268,2.31844,-1.3776,-1.3626,-0.806755,-0.232783,0.0868218,0.330858,0.342617,0.972379,0.159,
0.155647,1.28296,2.31945,-1.38039,-1.36036,-0.806367,-0.23616,0.0867055,0.329967,0.342202,0.972379,0.259,
0.155231,1.28323,2.32045,-1.38317,-1.35812,-0.805987,-0.239537,0.086589,0.329076,0.341788,0.972378,0.259,
0.155034,1.28341,2.32117,-1.38527,-1.35639,-0.805738,-0.242219,0.0865026,0.328355,0.34152,0.972377,0.259,
0.15484,1.28358,2.32188,-1.38736,-1.35466,-0.805493,-0.244901,0.0864162,0.327634,0.341252,0.972377,0.159,
0.154647,1.28375,2.3226,-1.38945,-1.35292,-0.805254,-0.247582,0.0863299,0.326913,0.340984,0.972377,-0.041,
0.154457,1.28392,2.32331,-1.39153,-1.35117,-0.805018,-0.250264,0.0862436,0.326192,0.340717,0.972376,0.059,
0.154268,1.28408,2.32402,-1.39361,-1.34943,-0.804788,-0.252945,0.0861573,0.325471,0.340449,0.972376,-0.141,
0.154431,1.28414,2.3245,-1.39532,-1.34789,-0.804696,-0.25551,0.0860909,0.324744,0.340354,0.972375,0.159,
0.154595,1.2842,2.32499,-1.39703,-1.34635,-0.804607,-0.258075,0.0860246,0.324018,0.34026,0.972375,0.359,
0.154761,1.28425,2.32547,-1.39873,-1.34481,-0.804523,-0.260639,0.0859584,0.323292,0.340165,0.972375,-0.041,
0.154929,1.2843,2.32594,-1.40043,-1.34327,-0.804444,-0.263202,0.0858924,0.322566,0.34007,0.972374,0.359,
0.155099,1.28435,2.32642,-1.40212,-1.34172,-0.804368,-0.265765,0.0858266,0.321839,0.339975,0.972374,0.059,
0.155064,1.28447,2.32718,-1.40453,-1.33961,-0.804182,-0.269093,0.085729,0.320923,0.33973,0.972373,0.259,
0.155033,1.28459,2.32793,-1.40692,-1.33749,-0.804003,-0.272421,0.0856316,0.320007,0.339485,0.972373,0.159,
0.155004,1.28471,2.32868,-1.40931,-1.33536,-0.803832,-0.275748,0.0855344,0.319091,0.33924,0.972372,0.159,
0.154979,1.28482,2.32942,-1.4117,-1.33324,-0.803668,-0.279074,0.0854375,0.318175,0.338995,0.972371,0.259,
0.154956,1.28492,2.33016,-1.41407,-1.3311,-0.803511,-0.282398,0.0853409,0.31726,0.33875,0.972371,0.159,
0.15512,1.28497,2.33078,-1.41623,-1.3291,-0.803434,-0.28563,0.0852561,0.316349,0.338599,0.97237,-0.241,
0.155288,1.28501,2.33138,-1.41838,-1.3271,-0.803363,-0.288861,0.0851716,0.315438,0.338448,0.972369,0.059,
0.155458,1.28504,2.33199,-1.42053,-1.32509,-0.8033,-0.29209,0.0850874,0.314527,0.338297,0.972369,-0.141,
0.15563,1.28507,2.33258,-1.42267,-1.32308,-0.803243,-0.295317,0.0850035,0.313616,0.338146,0.972368,0.459,
0.155805,1.2851,2.33318,-1.4248,-1.32107,-0.803194,-0.298544,0.08492,0.312706,0.337995,0.972367,0.059,
0.155599,1.28524,2.33418,-1.42787,-1.31831,-0.802981,-0.302667,0.0847924,0.311589,0.337597,0.972366,-0.041,
0.155396,1.28537,2.33518,-1.43092,-1.31554,-0.802779,-0.30679,0.0846652,0.310473,0.337198,0.972365,0.359,
0.155198,1.2855,2.33617,-1.43397,-1.31277,-0.80259,-0.310911,0.0845385,0.309357,0.336799,0.972364,0.159,
0.155003,1.28561,2.33715,-1.437,-1.30999,-0.802413,-0.31503,0.0844123,0.30824,0.336401,0.972363,-0.041,
0.154811,1.28572,2.33813,-1.44003,-1.3072,-0.802248,-0.319147,0.0842866,0.307124,0.336002,0.972362,0.059,
0.155067,1.28567,2.33839,-1.44116,-1.30604,-0.802304,-0.321065,0.0842454,0.306565,0.335979,0.972362,0.159,
0.155323,1.28562,2.33864,-1.44229,-1.30489,-0.802363,-0.322982,0.0842044,0.306005,0.335956,0.972361,0.359,
0.15558,1.28557,2.33889,-1.44342,-1.30373,-0.802424,-0.324898,0.0841635,0.305446,0.335933,0.972361,0.059,
0.155838,1.28551,2.33914,-1.44455,-1.30257,-0.802487,-0.326813,0.0841228,0.304887,0.335911,0.972361,0.059,
0.156097,1.28545,2.33938,-1.44568,-1.30141,-0.802553,-0.328727,0.0840822,0.304328,0.335888,0.972361,0.159,
0.156126,1.28547,2.34008,-1.44803,-1.29915,-0.802514,-0.332147,0.0839882,0.303378,0.33564,0.97236,0.259,
0.156158,1.28548,2.34077,-1.45037,-1.29689,-0.802484,-0.335565,0.0838947,0.302429,0.335393,0.972359,0.059,
0.156192,1.28548,2.34145,-1.45271,-1.29462,-0.802462,-0.338981,0.0838016,0.301479,0.335145,0.972358,0.059,
0.156228,1.28548,2.34213,-1.45504,-1.29235,-0.802449,-0.342396,0.083709,0.30053,0.334898,0.972358,-0.141,
0.156267,1.28547,2.3428,-1.45737,-1.29008,-0.802444,-0.345808,0.0836169,0.29958,0.334651,0.972357,-0.141,
0.156539,1.28539,2.34304,-1.45849,-1.28889,-0.802539,-0.347743,0.0835774,0.299012,0.334628,0.972357,0.059,
0.156812,1.28531,2.34327,-1.45961,-1.28771,-0.802636,-0.349676,0.0835382,0.298444,0.334606,0.972356,0.059,
