joint1,2,3,4,5,6,7,manip,x,y,z,force
0.218241,1.1652,2.51722,-1.87973,-0.734728,-0.935762,-1.09757,0.069283,0.0809739,0.245806,0.97492,-2.447,
0.219108,1.16501,2.51633,-1.87902,-0.735647,-0.935931,-1.09716,0.0693195,0.0809102,0.246243,0.974934,-5.447,
0.220001,1.16495,2.51534,-1.87847,-0.736684,-0.9362,-1.09675,0.0693545,0.0808429,0.246707,0.974872,-1.047,
0.220825,1.16473,2.51452,-1.87774,-0.737529,-0.936331,-1.09636,0.0693901,0.0807827,0.247119,0.974908,-3.647,
0.22153,1.1646,2.51378,-1.87719,-0.738291,-0.936484,-1.09603,0.0694195,0.0807308,0.247477,0.974906,-5.547,
0.222095,1.16462,2.51311,-1.87691,-0.738986,-0.936696,-1.09578,0.0694407,0.0806877,0.247777,0.974833,-3.047,
0.223185,1.16478,2.51182,-1.87577,-0.740747,-0.93656,-1.0947,0.0694957,0.0808318,0.248452,0.974818,-4.047,
0.224209,1.165,2.51058,-1.87469,-0.742482,-0.9364,-1.09363,0.0695483,0.0809942,0.249103,0.974792,-0.347,
0.225165,1.16504,2.50953,-1.87349,-0.743972,-0.936161,-1.09264,0.0695999,0.0811365,0.249689,0.974854,-3.747,
0.225937,1.16518,2.50861,-1.87265,-0.745257,-0.936032,-1.09183,0.06964,0.081256,0.250176,0.974847,-5.147,
0.227256,1.16527,2.50708,-1.87153,-0.747133,-0.936132,-1.09083,0.0697004,0.081309,0.250938,0.974782,-1.947,
0.228575,1.16519,2.50565,-1.87026,-0.748852,-0.936173,-1.08988,0.0697625,0.0813392,0.251673,0.974798,-1.247,
0.229662,1.16507,2.50452,-1.86912,-0.750229,-0.936152,-1.08909,0.069815,0.081368,0.252273,0.974851,-3.647,
0.230655,1.16505,2.50343,-1.8682,-0.751556,-0.936203,-1.08836,0.0698616,0.0813945,0.252832,0.974842,-3.447,
0.231469,1.16505,2.50252,-1.86747,-0.752657,-0.936254,-1.08777,0.0698996,0.0814167,0.253293,0.974826,-2.047,
0.23224,1.16499,2.5017,-1.86669,-0.753649,-0.936257,-1.0872,0.0699366,0.0814373,0.253722,0.974849,-2.047,
0.232879,1.16492,2.50104,-1.86602,-0.754458,-0.936247,-1.08673,0.0699677,0.0814543,0.254075,0.974878,-3.347,
0.233787,1.16516,2.49993,-1.86491,-0.75611,-0.935997,-1.08562,0.0700184,0.0816524,0.25468,0.974873,-6.047,
0.234582,1.16554,2.49885,-1.86407,-0.75774,-0.935819,-1.08457,0.0700625,0.0818593,0.255245,0.97479,-0.947,
0.235349,1.1657,2.49795,-1.86302,-0.759125,-0.935532,-1.08358,0.0701072,0.0820427,0.255757,0.974826,-4.047,
0.236355,1.16571,2.49684,-1.86207,-0.760507,-0.935561,-1.08281,0.0701556,0.0820846,0.256333,0.974814,-4.947,
0.23726,1.16575,2.49579,-1.86135,-0.761738,-0.935695,-1.08218,0.0701968,0.0820936,0.256846,0.974755,-1.247,
0.238118,1.16565,2.49491,-1.86046,-0.7628,-0.935702,-1.08157,0.0702383,0.0821066,0.257315,0.974791,-2.547,
0.239293,1.16564,2.49363,-1.85922,-0.76443,-0.935656,-1.0806,0.0702971,0.0821788,0.257995,0.974812,-5.847,
0.240438,1.1658,2.49228,-1.85822,-0.766161,-0.935713,-1.07962,0.0703527,0.0822582,0.258682,0.974737,-3.447,
0.241378,1.16586,2.49121,-1.85731,-0.767529,-0.935718,-1.07883,0.0703993,0.0823214,0.259237,0.974712,-1.847,
0.242275,1.16583,2.49025,-1.85632,-0.768764,-0.935659,-1.07807,0.070445,0.0823804,0.259755,0.974743,-2.647,
0.243009,1.16583,2.48945,-1.85553,-0.769788,-0.935623,-1.07745,0.0704822,0.0824293,0.260182,0.974757,-4.047,
0.244143,1.16595,2.48814,-1.85437,-0.771516,-0.935575,-1.0764,0.0705403,0.0825372,0.26087,0.974729,-5.147,
0.245172,1.16613,2.48691,-1.85339,-0.773145,-0.935567,-1.07543,0.0705928,0.0826411,0.261505,0.974667,-1.647,
0.246138,1.16615,2.48586,-1.85229,-0.774561,-0.935466,-1.07453,0.0706436,0.0827346,0.262082,0.974691,-3.547,
0.246928,1.16622,2.48496,-1.85145,-0.775754,-0.935414,-1.07379,0.0706847,0.0828126,0.262561,0.974684,-2.947,
0.247663,1.16628,2.48413,-1.85066,-0.776861,-0.935363,-1.0731,0.0707231,0.0828851,0.263005,0.97468,-3.647,
0.248625,1.16615,2.48313,-1.84988,-0.777929,-0.935558,-1.0726,0.0707661,0.0828275,0.263504,0.974664,-2.047,
0.249601,1.16594,2.48217,-1.84902,-0.778921,-0.935738,-1.07214,0.0708096,0.0827516,0.263993,0.974685,-2.047,
0.251043,1.16562,2.48076,-1.84777,-0.780372,-0.93601,-1.07146,0.0708738,0.0826346,0.264712,0.974716,-6.147,
0.252352,1.1655,2.47936,-1.84687,-0.781811,-0.936398,-1.07086,0.0709302,0.0825235,0.265385,0.974636,-1.647,
0.253573,1.16524,2.47815,-1.84583,-0.783046,-0.936642,-1.07029,0.0709845,0.0824228,0.265996,0.974652,-3.347,
0.254579,1.16505,2.47714,-1.845,-0.784079,-0.936861,-1.06982,0.0710293,0.0823396,0.266502,0.974652,-2.247,
0.255521,1.16485,2.47622,-1.84419,-0.785027,-0.937045,-1.06938,0.0710714,0.0822623,0.266972,0.974667,-3.947,
0.257025,1.16495,2.47453,-1.84261,-0.787232,-0.937006,-1.06802,0.0711502,0.0823817,0.267873,0.974645,-4.347,
