joint1,2,3,4,5,6,7,manip,x,y,z,force
0.118333,1.28778,2.31968,-1.37493,-1.37254,-0.805546,-0.186571,0.0871147,0.346472,0.32963,0.970929,-0.066,
0.11836,1.28795,2.3204,-1.3772,-1.37064,-0.805308,-0.189723,0.0870231,0.345593,0.329474,0.970929,-0.266,
0.118384,1.28808,2.32096,-1.37902,-1.36911,-0.805123,-0.192244,0.0869499,0.344889,0.329349,0.970928,0.134,
0.118896,1.28813,2.32154,-1.38133,-1.36702,-0.805026,-0.195993,0.0868632,0.343802,0.32939,0.970928,-0.066,
0.11931,1.28818,2.322,-1.38316,-1.36534,-0.804954,-0.19899,0.0867941,0.342932,0.329423,0.970927,-0.066,
0.119644,1.2882,2.32236,-1.38463,-1.364,-0.804902,-0.201386,0.086739,0.342236,0.329449,0.970927,-0.066,
0.120065,1.28828,2.32299,-1.38702,-1.36185,-0.804786,-0.20516,0.0866473,0.341149,0.32944,0.970926,0.034,
0.120406,1.28833,2.32349,-1.38893,-1.36012,-0.8047,-0.208178,0.0865743,0.34028,0.329432,0.970926,0.034,
0.121148,1.28826,2.32373,-1.39041,-1.35863,-0.804774,-0.211067,0.0865241,0.33941,0.329623,0.970926,-0.166,
0.121744,1.2882,2.32392,-1.3916,-1.35744,-0.804837,-0.213375,0.0864842,0.338715,0.329775,0.970925,-0.066,
0.122223,1.28816,2.32408,-1.39254,-1.35649,-0.80489,-0.215221,0.0864525,0.338159,0.329898,0.970925,-0.066,
0.122116,1.2884,2.32523,-1.39613,-1.35342,-0.804536,-0.220086,0.086304,0.336815,0.329564,0.970924,-0.166,
0.122037,1.28859,2.32615,-1.399,-1.35096,-0.804266,-0.223977,0.0861854,0.33574,0.329298,0.970923,-0.066,
0.121977,1.28873,2.32688,-1.40128,-1.34899,-0.804057,-0.227088,0.0860909,0.33488,0.329085,0.970922,0.034,
0.121931,1.28884,2.32747,-1.4031,-1.34741,-0.803895,-0.229577,0.0860154,0.334193,0.328915,0.970922,-0.066,
0.122543,1.28884,2.32809,-1.40572,-1.34492,-0.803872,-0.233924,0.0859168,0.332928,0.328946,0.970921,0.234,
0.123036,1.28884,2.32858,-1.40781,-1.34293,-0.803863,-0.237398,0.0858384,0.331917,0.328972,0.97092,0.234,
0.123435,1.28882,2.32897,-1.40947,-1.34134,-0.803862,-0.240176,0.0857761,0.331107,0.328993,0.97092,-0.066,
0.124229,1.2887,2.32912,-1.41075,-1.33996,-0.804015,-0.242867,0.0857357,0.330285,0.329207,0.97092,0.034,
