joint1,2,3,4,5,6,7,manip,x,y,z,force
0.162284,1.27626,2.30208,-1.32974,-1.39753,-0.813043,-0.176277,0.0885623,0.34588,0.348786,0.973071,0.059,
0.163168,1.27627,2.30245,-1.3316,-1.39584,-0.813011,-0.179753,0.0885036,0.344823,0.349008,0.97307,0.159,
0.164057,1.27628,2.30281,-1.33345,-1.39416,-0.812986,-0.183226,0.0884451,0.343766,0.349229,0.97307,0.059,
0.16495,1.27628,2.30316,-1.3353,-1.39248,-0.812968,-0.186696,0.088387,0.342708,0.34945,0.973069,0.359,
0.165848,1.27628,2.30351,-1.33713,-1.39079,-0.812956,-0.190163,0.0883291,0.341651,0.349672,0.973069,0.259,
0.16675,1.27627,2.30385,-1.33896,-1.38911,-0.81295,-0.193627,0.0882714,0.340594,0.349893,0.973068,0.059,
0.1677,1.2762,2.30399,-1.3402,-1.38786,-0.813033,-0.196365,0.0882358,0.339733,0.350177,0.973068,0.059,
0.168654,1.27612,2.30413,-1.34145,-1.38662,-0.813119,-0.199099,0.0882004,0.338872,0.350461,0.973068,0.359,
0.16961,1.27605,2.30426,-1.34268,-1.38537,-0.813209,-0.201831,0.0881652,0.338011,0.350746,0.973068,0.159,
0.170569,1.27597,2.30439,-1.34391,-1.38413,-0.813304,-0.204559,0.0881303,0.33715,0.35103,0.973067,-0.041,
0.171531,1.27588,2.30452,-1.34513,-1.38289,-0.813402,-0.207285,0.0880956,0.336289,0.351314,0.973067,-0.041,
0.171789,1.276,2.3051,-1.34717,-1.38119,-0.813231,-0.210323,0.0880227,0.335416,0.351249,0.973067,0.159,
0.172049,1.27612,2.30567,-1.3492,-1.3795,-0.813064,-0.213361,0.0879498,0.334544,0.351183,0.973066,-0.141,
0.172313,1.27623,2.30625,-1.35122,-1.3778,-0.812903,-0.216397,0.087877,0.333671,0.351118,0.973066,0.059,
0.17258,1.27633,2.30682,-1.35323,-1.3761,-0.812748,-0.219433,0.0878043,0.332799,0.351052,0.973065,-0.041,
0.17285,1.27644,2.30738,-1.35524,-1.37439,-0.812597,-0.222468,0.0877316,0.331926,0.350987,0.973065,0.259,
0.173259,1.27653,2.30801,-1.35759,-1.37237,-0.812451,-0.226113,0.0876478,0.330869,0.350945,0.973064,-0.241,
0.173672,1.27662,2.30863,-1.35992,-1.37035,-0.812313,-0.229756,0.0875642,0.329812,0.350904,0.973064,0.459,
0.174089,1.27671,2.30925,-1.36225,-1.36833,-0.812183,-0.233397,0.0874807,0.328755,0.350862,0.973063,-0.141,
0.174511,1.27679,2.30987,-1.36457,-1.3663,-0.81206,-0.237037,0.0873975,0.327698,0.350821,0.973062,0.359,
0.174938,1.27686,2.31047,-1.36687,-1.36427,-0.811946,-0.240675,0.0873144,0.326641,0.35078,0.973062,0.159,
0.176245,1.27668,2.31051,-1.36819,-1.3628,-0.812174,-0.24394,0.0872805,0.325588,0.351173,0.973061,0.359,
0.177556,1.27649,2.31054,-1.3695,-1.36133,-0.812408,-0.2472,0.0872471,0.324535,0.351565,0.973061,0.059,
0.178871,1.2763,2.31056,-1.3708,-1.35986,-0.812648,-0.250454,0.0872141,0.323482,0.351958,0.973061,-0.041,
0.180191,1.2761,2.31058,-1.37209,-1.3584,-0.812893,-0.253703,0.0871816,0.322429,0.352351,0.97306,0.359,
0.181514,1.2759,2.3106,-1.37338,-1.35694,-0.813145,-0.256946,0.0871495,0.321376,0.352744,0.97306,0.059,
0.181851,1.27595,2.31112,-1.37536,-1.35518,-0.813062,-0.260054,0.0870777,0.320474,0.352685,0.97306,0.159,
0.182192,1.27599,2.31164,-1.37734,-1.35341,-0.812985,-0.26316,0.0870061,0.319573,0.352625,0.973059,0.159,
0.182535,1.27604,2.31216,-1.37931,-1.35164,-0.812913,-0.266265,0.0869347,0.318672,0.352566,0.973059,0.059,
0.182882,1.27607,2.31267,-1.38128,-1.34987,-0.812848,-0.269368,0.0868634,0.31777,0.352507,0.973058,0.059,
0.183231,1.27611,2.31318,-1.38324,-1.3481,-0.812789,-0.27247,0.0867924,0.316869,0.352447,0.973058,0.059,
0.184106,1.27599,2.31333,-1.38459,-1.34669,-0.812934,-0.275317,0.0867522,0.315976,0.352649,0.973057,-0.041,
0.184983,1.27586,2.31349,-1.38594,-1.34528,-0.813084,-0.278161,0.0867122,0.315082,0.352852,0.973057,-0.041,
0.185864,1.27573,2.31364,-1.38728,-1.34387,-0.813239,-0.281002,0.0866726,0.314189,0.353054,0.973057,0.259,
0.186747,1.2756,2.31378,-1.38861,-1.34246,-0.813398,-0.28384,0.0866333,0.313296,0.353256,0.973056,-0.141,
0.187633,1.27547,2.31392,-1.38994,-1.34105,-0.813563,-0.286674,0.0865943,0.312402,0.353458,0.973056,0.359,
0.188692,1.27528,2.31394,-1.39103,-1.33978,-0.813798,-0.289384,0.0865668,0.311522,0.353749,0.973056,-0.141,
0.189754,1.27509,2.31395,-1.39213,-1.33852,-0.814037,-0.292091,0.0865395,0.310641,0.354039,0.973056,0.059,
0.190818,1.27489,2.31396,-1.39321,-1.33726,-0.81428,-0.294793,0.0865126,0.30976,0.35433,0.973055,0.059,
